20,0.109
30,0.115
40,0.118
51,0.120
63,0.122
70,0.124
82,0.126
92,0.127
99,0.128
148,0.140
205,0.165
252,0.194
301,0.246
319,0.274
349,0.336
361,0.369
380,0.436
404,0.570
420,0.677
440,0.908
460,1.136
475,1.176
499,0.927
605,0.310
698,0.189
803,0.133
907,0.103
1007,0.085
1104,0.073
1202,0.064
1307,0.056
1400,0.051
1501,0.047
1606,0.043
1701,0.040
1801,0.037
1903,0.034
2010,0.032
